SMILES,Prediction,Dataset,Features
CC(C)CC(N=C(O)C(CC(C)C)N=C(O)C(CCCNC(N)=[NH2+])N=C(O)C(CCC(=N)O)N=C(O)C(CC(C)C)N=C(O)C(CCCNC(N)=[NH2+])N=C(O)C(C)N=C(O)CN=C(O)C(CCC(=O)[O-])N=C(O)C(CCCNC(N)=[NH2+])N=C(O)C(CC(C)C)N=C(O)C(CCCNC(N)=[NH2+])N=C(O)C(CO)N=C(O)C(CC(C)C)N=C(O)C(CCC(=O)[O-])N=C(O)C(CO)N=C(O)C(N=C(O)C(Cc1ccccc1)N=C(O)C(N=C(O)CN=C(O)C(CC(=O)[O-])NC(=O)C(CO)NC(=O)C([NH3+])Cc1cnc[n-]1)C(C)O)C(C)O)C(=O)NC(CCC(N)=O)C(=O)NCC(=O)NC(CC(C)C)C(=O)NC(C(N)=O)C(C)C,1,sider_cardiacdisorders,Ensemble_selected
CC(C)CC(N=C(O)C(CCC(=O)[O-])N=C(O)C(CCC(=N)O)N=C(O)C(CO)N=C(O)C(CC(C)C)N=C(O)C(CCCC[NH3+])N=C(O)CN=C(O)C(CC(C)C)N=C(O)C(N=C(O)C1CSSCC([NH3+])C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(O)=NC(C(C)O)C(O)=N1)C(C)C)C(=O)NC(Cc1cnc[n-]1)C(O)=NC(CCCC[NH3+])C(O)=NC(CC(C)C)C(O)=NC(CCC(N)=O)C(O)=NC(C(O)=NC(Cc1ccc([O-])cc1)C(=O)[NH+]1CCCC1C(O)=NC(CCCNC(N)=[NH2+])C(O)=NC(C(O)=NC(CC(N)=O)C(O)=NC(C(O)=NCC(O)=NC(CO)C(O)=NCC(O)=NC(C(=O)[NH+]1CCCC1C(N)=O)C(C)O)C(C)O)C(C)O)C(C)O,1,sider_cardiacdisorders,Ensemble_selected
CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccc([O-])cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[n-]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[NH+]1CCCC1C(=O)NCC(N)=O,1,sider_cardiacdisorders,Ensemble_selected
CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1,1,sider_cardiacdisorders,Ensemble_selected
CC(C=CC(C)C(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0,sider_cardiacdisorders,Ensemble_selected
CC(C=Cc1c(C)c([O-])c2ccccc2c1[O-])=CCCC(C)CCCC(C)CCCC(C)C,1,sider_cardiacdisorders,Ensemble_selected
CC(CN1c2ccccc2Sc2ccccc21)C[NH+](C)C,1,sider_cardiacdisorders,Ensemble_selected
CC(COc1ccccc1)[NH2+]C(C)C(O)c1ccc([O-])cc1,1,sider_cardiacdisorders,Ensemble_selected
CC(Cc1ccc([O-])c([O-])c1)([NH2+]N)C(=O)[O-],1,sider_cardiacdisorders,Ensemble_selected
CC(O)([P](=O)(=O)O)[P](=O)(=O)O,0,sider_cardiacdisorders,Ensemble_selected
CC(O)=NO,0,sider_cardiacdisorders,Ensemble_selected
CC(OC1OCC[NH+](Cc2n[n-]c(=O)[n-]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1,sider_cardiacdisorders,Ensemble_selected
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0,sider_cardiacdisorders,Ensemble_selected
CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3(F)C(O)CC21C,0,sider_cardiacdisorders,Ensemble_selected
CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,0,sider_cardiacdisorders,Ensemble_selected
CC12CCC3C(=CCc4cc(OS(=O)(=O)[O-])ccc43)C1CCC2=O,1,sider_cardiacdisorders,Ensemble_selected
CC12CCC3c4ccc([O-])cc4CC(CCCCCCCCC[S+](O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,1,sider_cardiacdisorders,Ensemble_selected
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C([NH3+])C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)[O-],0,sider_cardiacdisorders,Ensemble_selected
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1[NH2+]C1C=C(CO)C(O)C(O)C1O,0,sider_cardiacdisorders,Ensemble_selected
CC1OC2(CS1)C[NH+]1CCC2CC1,1,sider_cardiacdisorders,Ensemble_selected
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCn2nnn(CC)c2=O)CC1,1,sider_cardiacdisorders,Ensemble_selected
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,0,sider_cardiacdisorders,Ensemble_selected
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0,sider_cardiacdisorders,Ensemble_selected
CCC(C)C(N=C(O)C[NH3+])C(=O)NC(C(=O)NC(CCC(=O)[O-])C(=O)NC(CCC(=N)O)C(=O)NC1CSSCC2N=C(O)C(C(C)CC)N=C(O)C(CO)N=C(O)C(C(C)O)N=C(O)C(CSSCC(N=C(O)C(CC(C)C)N=C(O)C(Cc3cnc[n-]3)N=C(O)C(CCC(=N)O)N=C(O)C(CC(=N)O)N=C(O)C(N=C(O)C([NH3+])Cc3ccccc3)C(C)C)C(=O)NCC(O)=NC(CO)C(O)=NC(Cc3cnc[n-]3)C(O)=NC(CC(C)C)C(O)=NC(C(C)C)C(O)=NC(CCC(=O)[O-])C(O)=NC(C)C(O)=NC(CC(C)C)C(O)=NC(Cc3ccc([O-])cc3)C(O)=NC(CC(C)C)C(O)=NC(C(C)C)C(O)=NC(C(O)=NCC(O)=NC(CCC(=O)[O-])C(O)=NC(CCCNC(N)=[NH2+])C(O)=NCC(O)=NC(Cc3ccccc3)C(O)=NC(Cc3ccccc3)C(O)=NC(Cc3ccc([O-])cc3)C(O)=NC(C(=O)[NH+]3CCCC3C(O)=NC(CCCC[NH3+])C(O)=NC(C(=O)[O-])C(C)O)C(C)O)CSSCC(C(O)=NC(CC(=N)O)C(=O)[O-])N=C(O)C(Cc3ccc([O-])cc3)N=C(O)C(CC(=N)O)N=C(O)C(CCC(=O)[O-])N=C(O)C(CC(C)C)N=C(O)C(CCC(=N)O)N=C(O)C(Cc3ccc([O-])cc3)N=C(O)C(CC(C)C)NC(=O)C(CO)NC2=O)NC1=O)C(C)C,1,sider_cardiacdisorders,Ensemble_selected
CCC(C)C1N=C(O)C(C(C)CC)N=C(O)C(CCCNC(N)=[NH2+])N=C(O)C(C)N=C(O)C(CCCC[NH3+])N=C(O)C2CSSCC3N=C(O)CN=C(O)CN=C(O)C(Cc4ccc([O-])cc4)N=C(O)C(C(C)C)N=C(O)C(Cc4ccccc4)N=C(O)C(C(C)O)N=C(O)C(CCC(=N)O)N=C(O)C(CSSCC(N=C(O)C(CC(=O)[O-])N=C(O)C(CCC(=O)[O-])N=C(O)C(C)N=C(O)C(CO)N=C(O)C(CCCC[NH3+])N=C(O)C(Cc4ccccc4)N=C(O)C(CC(=N)O)N=C(O)C(CC(=N)O)N=C(O)C(CCCNC(N)=[NH2+])N=C(O)C(CCCC[NH3+])N=C(O)C(C)N=C(O)C(CCCNC(N)=[NH2+])N=C3O)C(=O)NC(CCSC)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(C(C)O)C(=O)NC(C(O)=NCC(O)=NCC(O)=NC(C)C(=O)[O-])CSSCC(N=C(O)C(Cc3ccccc3)N=C(O)C(CC(=O)[O-])N=C(O)C3CCC[NH+]3C(=O)C([NH3+])CCCNC(N)=[NH2+])C(O)=NC(CC(C)C)C(O)=NC(CCC(=O)[O-])C(=O)[NH+]3CCCC3C(=O)[NH+]3CCCC3C(O)=NC(Cc3ccc([O-])cc3)C(O)=NC(C(C)O)C(O)=NCC(=O)[NH+]3CCCC3C(O)=N2)N=C(O)C(CC(C)C)N=C(O)CN=C(O)C(C)N=C(O)C(CCCC[NH3+])N=C(O)C(C)N=C(O)C(CC(=N)O)N=C(O)C(Cc2ccc([O-])cc2)N=C(O)C(Cc2ccccc2)NC(=O)C(Cc2ccc([O-])cc2)NC(=O)C(CCCNC(N)=[NH2+])NC1=O,1,sider_cardiacdisorders,Ensemble_selected
CCC(C)CCCCC(=O)NC(CC[NH2+]CS(=O)(=O)[O-])C(=O)NC(C(=O)NC(CC[NH2+]CS(=O)(=O)[O-])C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CC[NH2+]CS(=O)(=O)[O-])NC(=O)C(CC[NH2+]CS(=O)(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC[NH2+]CS(=O)(=O)[O-])NC1=O)C(C)O,1,sider_cardiacdisorders,Ensemble_selected
CCC(CO)[NH2+]CC[NH2+]C(CC)CO,0,sider_cardiacdisorders,Ensemble_selected
CCC12C=CC[NH+]3CCC4(c5cc(C6(C(=O)OC)CC7CC(C(C)(F)F)C[NH+](Cc8c6[nH]c6ccccc86)C7)c(OC)cc5[NH+](C)C4C(O)(C(=O)OC)C1OC(C)=O)C32,1,sider_cardiacdisorders,Ensemble_selected
CCC1CCCC(OC2CCC([NH+](C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=C(C)C4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1,1,sider_cardiacdisorders,Ensemble_selected
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,1,sider_cardiacdisorders,Ensemble_selected
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1,1,sider_cardiacdisorders,Ensemble_selected
CCCCC(=O)OC1(C(=O)CO)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,0,sider_cardiacdisorders,Ensemble_selected
CCCCCCOC(=O)CCC(=O)C[NH3+],0,sider_cardiacdisorders,Ensemble_selected
CCCCNc1cc(C(=O)[O-])cc(S(N)(=O)=O)c1Oc1ccccc1,1,sider_cardiacdisorders,Ensemble_selected
CCCSc1ccc2[n-]c(=NC(=O)OC)[n-]c2c1,0,sider_cardiacdisorders,Ensemble_selected
CCC[NH+]1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,1,sider_cardiacdisorders,Ensemble_selected
CCC[NH2+]C(C)C(=O)Nc1c(C)csc1C(=O)OC,1,sider_cardiacdisorders,Ensemble_selected
CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1,1,sider_cardiacdisorders,Ensemble_selected
CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)[NH+]1Cc2ccccc2CC1C(=O)[O-],1,sider_cardiacdisorders,Ensemble_selected
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl,1,sider_cardiacdisorders,Ensemble_selected
CCOC(=O)[NH+]1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1,sider_cardiacdisorders,Ensemble_selected
CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)[O-],1,sider_cardiacdisorders,Ensemble_selected
CCOc1ccc(CC(C[NH+](CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-])cc1,1,sider_cardiacdisorders,Ensemble_selected
CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[n-]2)cc1,1,sider_cardiacdisorders,Ensemble_selected
CC[N+](C)(C)c1cccc([O-])c1,1,sider_cardiacdisorders,Ensemble_selected
CC[NH+](CC)C(=S)SSC(=S)[NH+](CC)CC,0,sider_cardiacdisorders,Ensemble_selected
CC[NH+](CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1,sider_cardiacdisorders,Ensemble_selected
CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,1,sider_cardiacdisorders,Ensemble_selected
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]C(C)C3)c(F)c21,1,sider_cardiacdisorders,Ensemble_selected
CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I,1,sider_cardiacdisorders,Ensemble_selected
CN1CCC[NH+]=C1C=Cc1cccs1,0,sider_cardiacdisorders,Ensemble_selected
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,1,sider_cardiacdisorders,Ensemble_selected
CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,1,sider_cardiacdisorders,Ensemble_selected
CNC(=O)c1cnn(-c2nc(=N)c3ncn(C4OC(CO)C(O)C4O)c3[n-]2)c1,1,sider_cardiacdisorders,Ensemble_selected
COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)(C)C[NH+](C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,1,sider_cardiacdisorders,Ensemble_selected
COC(=O)C1=C(C)N=C(C)C(C(=O)OCC[NH+](C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,1,sider_cardiacdisorders,Ensemble_selected
COC1C=COC2(C)Oc3c(C)c([O-])c4c([O-])c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,0,sider_cardiacdisorders,Ensemble_selected
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)[NH+]2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,1,sider_cardiacdisorders,Ensemble_selected
COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1,1,sider_cardiacdisorders,Ensemble_selected
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0,sider_cardiacdisorders,Ensemble_selected
CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(COC(N)=O)CSC12)c1ccco1,0,sider_cardiacdisorders,Ensemble_selected
COc1[n-]c(=N)nc2c1ncn2C1OC(CO)C(O)C1O,1,sider_cardiacdisorders,Ensemble_selected
COc1cc(C(=O)[N-]S(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,1,sider_cardiacdisorders,Ensemble_selected
COc1cc2[n-]c(N3CC[NH+](C(=O)C4COc5ccccc5O4)CC3)nc(=N)c2cc1OC,1,sider_cardiacdisorders,Ensemble_selected
COc1cc2[n-]c(N3CC[NH+](C(=O)c4ccco4)CC3)nc(=N)c2cc1OC,1,sider_cardiacdisorders,Ensemble_selected
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,1,sider_cardiacdisorders,Ensemble_selected
COc1ccc(CC(C)(C)[NH2+]CC(O)c2cc([O-])cc3c2OCC(=O)N3)cc1,1,sider_cardiacdisorders,Ensemble_selected
COc1ccc(CCOC2CCCCC2[NH+]2CCC(O)C2)cc1OC,1,sider_cardiacdisorders,Ensemble_selected
COc1ccc2cc(CCC(C)=O)ccc2c1,1,sider_cardiacdisorders,Ensemble_selected
CS(=O)(=O)OCCCCOS(C)(=O)=O,0,sider_cardiacdisorders,Ensemble_selected
CSCCC([NH3+])C(=O)NC(CCC(=N)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(=N)O)C(=O)NC(CO)C(=O)NC(C(O)=NC(C(O)=NC(Cc1ccccc1)C(O)=NC(Cc1cnc[n-]1)C(O)=NC(CCC(=N)O)C(O)=NC(C(O)=NC(CC(C)C)C(O)=NC(CCC(=N)O)C(O)=NC(CC(=O)[O-])C(=O)[NH+]1CCCC1C(O)=NC(CCCNC(N)=[NH2+])C(O)=NC(C(=O)OC(=O)CN=C(O)CN=C(O)C(C)N=C(O)C1CCC[NH+]1C(=O)C(Cc1ccccc1)N=C(O)C(Cc1ccc([O-])cc1)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C([NH3+])CCCNC(N)=[NH2+])C(C)C)C(C)O)C(C)O)C(C)O,1,sider_cardiacdisorders,Ensemble_selected
C[N+](C)(C)CCOC(N)=O,1,sider_cardiacdisorders,Ensemble_selected
C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,1,sider_cardiacdisorders,Ensemble_selected
C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,1,sider_cardiacdisorders,Ensemble_selected
C[NH+](C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)c3c(c([O-])c4c(Cl)ccc([O-])c4c3[O-])CC12,1,sider_cardiacdisorders,Ensemble_selected
C[NH+](C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,1,sider_cardiacdisorders,Ensemble_selected
C[NH+]1C(CSCC(F)(F)F)[NH2+]c2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0,sider_cardiacdisorders,Ensemble_selected
C[NH2+]C1C(O)C([NH2+]C)C2OC3(O)C(=O)CC(C)OC3OC2C1O,0,sider_cardiacdisorders,Ensemble_selected
C[NH2+]CC(O)c1cccc([O-])c1,1,sider_cardiacdisorders,Ensemble_selected
C[NH2+]CCC=C1c2ccccc2CCc2ccccc21,1,sider_cardiacdisorders,Ensemble_selected
Cc1c([O-])c(=O)ccn1C,0,sider_cardiacdisorders,Ensemble_selected
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,1,sider_cardiacdisorders,Ensemble_selected
Cc1ccc(=O)n(-c2ccccc2)c1,0,sider_cardiacdisorders,Ensemble_selected
Cc1ccc(C2OC(CO)C(O)C(O)C2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,1,sider_cardiacdisorders,Ensemble_selected
Cc1ccc([O-])c(C(CC[NH+](C(C)C)C(C)C)c2ccccc2)c1,1,sider_cardiacdisorders,Ensemble_selected
Cc1cccc(C(C)c2c[n-]cn2)c1C,1,sider_cardiacdisorders,Ensemble_selected
Cc1cccc(N=c2cc[n-]cc2S(=O)(=O)[N-]C(=O)[NH2+]C(C)C)c1,1,sider_cardiacdisorders,Ensemble_selected
Cc1ccnc2c1NC(=O)c1cccnc1[NH+]2C1CC1,1,sider_cardiacdisorders,Ensemble_selected
Cc1ncc([N+](=O)[O-])n1CCO,0,sider_cardiacdisorders,Ensemble_selected
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1,sider_cardiacdisorders,Ensemble_selected
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,1,sider_cardiacdisorders,Ensemble_selected
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0,sider_cardiacdisorders,Ensemble_selected
Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,sider_cardiacdisorders,Ensemble_selected
Cn1c(=O)cc(N2CCCC([NH3+])C2)n(Cc2ccccc2C#N)c1=O,1,sider_cardiacdisorders,Ensemble_selected
Cn1nnc2c(C(N)=O)ncn2c1=O,1,sider_cardiacdisorders,Ensemble_selected
FC(F)OC(F)C(F)(F)F,0,sider_cardiacdisorders,Ensemble_selected
FCOC(C(F)(F)F)C(F)(F)F,0,sider_cardiacdisorders,Ensemble_selected
N#Cc1cc(NC(=O)C(=O)[O-])c(Cl)c(NC(=O)C(=O)[O-])c1,0,sider_cardiacdisorders,Ensemble_selected
N=c1[n-]c(CC(=O)Nc2ccc(CC[NH2+]CC(O)c3ccccc3)cc2)cs1,1,sider_cardiacdisorders,Ensemble_selected
N=c1[n-]c(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,1,sider_cardiacdisorders,Ensemble_selected
NC(=O)C[S+](O)C(c1ccccc1)c1ccccc1,1,sider_cardiacdisorders,Ensemble_selected
NC(=O)N=CC1NC(=O)C(CNC(=O)CC([NH3+])CCC[NH3+])NC(=O)C(CO)NC(=O)C([NH3+])CNC(=O)C(C2CC[NH+]=C(N)N2)NC1=O,0,sider_cardiacdisorders,Ensemble_selected
NC(=[NH2+])NC(=O)Cc1c(Cl)cccc1Cl,1,sider_cardiacdisorders,Ensemble_selected
N[N-]C(=O)c1ccncc1,0,sider_cardiacdisorders,Ensemble_selected
O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,1,sider_cardiacdisorders,Ensemble_selected
O=C(OC1CC2CC3CC(C1)[NH+]2CC3=O)c1c[nH]c2ccccc12,1,sider_cardiacdisorders,Ensemble_selected
O=C([O-])C(S)C(S)C(=O)[O-],0,sider_cardiacdisorders,Ensemble_selected
O=C([O-])CCCO,0,sider_cardiacdisorders,Ensemble_selected
O=C([O-])CCC[NH+]1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1,1,sider_cardiacdisorders,Ensemble_selected
O=C([O-])CCCc1ccccc1,0,sider_cardiacdisorders,Ensemble_selected
O=C([O-])C[NH+](CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])C(COCc1ccccc1)C(=O)[O-],1,sider_cardiacdisorders,Ensemble_selected
O=C1C=NC(c2ccccn2)c2cc(Br)ccc2N1,0,sider_cardiacdisorders,Ensemble_selected
O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1,sider_cardiacdisorders,Ensemble_selected
O=[N+]([O-])OC1COC2C(O)COC12,1,sider_cardiacdisorders,Ensemble_selected
O=[P](=O)(O)C(Cl)(Cl)[P](=O)(=O)O,0,sider_cardiacdisorders,Ensemble_selected
O=c1[n-]c([O-])cn1N=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1,1,sider_cardiacdisorders,Ensemble_selected
O=c1[n-]c2cc(Cl)ccc2o1,0,sider_cardiacdisorders,Ensemble_selected
O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,1,sider_cardiacdisorders,Ensemble_selected
OCC[NH+]1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,sider_cardiacdisorders,Ensemble_selected
[NH3+]C(Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-],1,sider_cardiacdisorders,Ensemble_selected
[O-]c1ccc(C2C[NH2+]CCc3c2cc([O-])c([O-])c3Cl)cc1,1,sider_cardiacdisorders,Ensemble_selected
c1ccc2c(CC3=[NH+]CCN3)cccc2c1,1,sider_cardiacdisorders,Ensemble_selected
