Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,INPUT,SMILES
bal,dimercaprol,dimercaprol,less,dimercaprol,OCC(S)CS
trelstar,triptorelin pamoate,triptorelin pamoate,most,triptorelin pamoate,OC(=O)C1=CC2=C(C=CC=C2)C(CC2=C(O)C(=CC3=C2C=CC=C3)C(O)=O)=C1O.CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@@H]1C(=O)NCC(N)=O
carboprost tromethamine,carboprost tromethamine,carboprost tromethamine,less,carboprost tromethamine,NC(CO)(CO)CO.CCCCC[C@](C)(O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
hydroxocobalamin,hydroxocobalamin,hydroxocobalamin acetate,no,hydroxocobalamin acetate,CC(CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co]OC(C)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP(O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2
cyanocobalamin,cyanocobalamin,cyanocobalamin,less,cyanocobalamin,[Co+3].[C-]#N.[H]C1(O)[C@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)[C@@]3([H])[N-]\C2=C(C)/C2=N/C(=C\C4=N\C(=C(C)/C5=N[C@]3(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)\[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]2CCC(N)=O)[C@@H](CO)O[C@@H]1N1C=NC2=C1C=C(C)C(C)=C2
estradiol valerate,estradiol valerate,estradiol valerate,most,estradiol valerate,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
testosterone cypionate,testosterone cypionate,testosterone cypionate,most,testosterone cypionate,[H][C@@]12CC[C@H](OC(=O)CCC3CCCC3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
streptomycin,streptomycin,streptomycin sulfate,no,streptomycin sulfate,OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O
medroxyprogesterone acetate,medroxyprogesterone acetate,medroxyprogesterone acetate,less,medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
haloperidol decanoate,haloperidol decanoate,haloperidol decanoate,most,haloperidol decanoate,CCCCCCCCCC(=O)OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
depo-estradiol,estradiol cypionate,estradiol cypionate,most,estradiol cypionate,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
haloperidol,haloperidol lactate,haloperidol lactate,most,haloperidol lactate,CC(O)C(O)=O.OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
ziprasidone mesylate,ziprasidone mesylate,ziprasidone mesylate,less,ziprasidone mesylate,CS(O)(=O)=O.ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
penicillin g procaine,penicillin g procaine,penicillin g procaine,no,penicillin g procaine,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O
nandrolone decanoate,nandrolone decanoate,nandrolone decanoate,ambiguous,nandrolone decanoate,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C
magnesium sulfate,magnesium sulfate,magnesium sulfate heptahydrate,ambiguous,magnesium sulfate heptahydrate,O.O.O.O.O.O.O.[Mg++].[O-]S([O-])(=O)=O
solu-cortef,hydrocortisone sodium succinate,hydrocortisone sodium succinate,less,hydrocortisone sodium succinate,[Na+].[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
calcium disodium versenate,edetate calcium disodium,edetate calcium disodium,less,edetate calcium disodium,O.O.[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
oxytocin,oxytocin,oxytocin,less,oxytocin,[H][C@]1(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)[C@@H](C)CC
penicillin g sodium,penicillin g sodium,penicillin g sodium,less,penicillin g sodium,[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O
phentolamine mesylate,phentolamine mesylate,phentolamine mesylate,most,phentolamine mesylate,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1
orphenadrine citrate,orphenadrine citrate,orphenadrine citrate,less,orphenadrine citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1
midazolam,midazolam hydrochloride,midazolam hydrochloride,most,midazolam hydrochloride,Cl.CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=CC(Cl)=CC=C3N12
metoclopramide,metoclopramide hydrochloride,metoclopramide hydrochloride,less,metoclopramide hydrochloride,Cl.CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1
penicillin g potassium,penicillin g potassium,penicillin g potassium,less,penicillin g potassium,[K+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C([O-])=O
pentamidine isethionate,pentamidine isethionate,pentamidine isethionate,less,pentamidine isethionate,OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
diphenhydramine hydrochloride,diphenhydramine hydrochloride,diphenhydramine hydrochloride,less,diphenhydramine hydrochloride,Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
procainamide hydrochloride,procainamide hydrochloride,procainamide hydrochloride,most,procainamide hydrochloride,Cl.CCN(CC)CCNC(=O)C1=CC=C(N)C=C1
leucovorin calcium,leucovorin calcium,leucovorin calcium,no,leucovorin calcium,[Ca++].NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
cefuroxime sodium,cefuroxime sodium,cefuroxime sodium,no,cefuroxime sodium,[Na+].[H][C@@]1(NC(=O)C(=N/OC)\C2=CC=CO2)C(=O)N2C(C([O-])=O)=C(COC(N)=O)CS[C@]12[H]
prochlorperazine edisylate,prochlorperazine edisylate,prochlorperazine edisylate,less,prochlorperazine edisylate,OS(=O)(=O)CCS(O)(=O)=O.CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
cefazolin,cefazolin,cefazolin sodium,no,cefazolin sodium,[Na+].[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C([O-])=O
droperidol,droperidol,droperidol,most,droperidol,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
ketamine hydrochloride,ketamine hydrochloride,ketamine hydrochloride,less,ketamine hydrochloride,Cl.CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1
ondansetron,ondansetron,ondansetron hydrochloride,most,ondansetron hydrochloride,Cl.CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
pentobarbital sodium,pentobarbital sodium,pentobarbital sodium,less,pentobarbital sodium,[Na+].CCCC(C)C1(CC)C(=O)NC([O-])=NC1=O
amikacin sulfate,amikacin sulfate,amikacin sulfate,no,amikacin sulfate,OS(O)(=O)=O.OS(O)(=O)=O.NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
thiamine hydrochloride,thiamine hydrochloride,thiamine hydrochloride,no,thiamine hydrochloride,Cl.[Cl-].CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
methylprednisolone sodium succinate,methylprednisolone sodium succinate,methylprednisolone sodium succinate,less,methylprednisolone sodium succinate,[Na+].[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
dimenhydrinate,dimenhydrinate,dimenhydrinate,less,dimenhydrinate,CN1C2=C(NC(Cl)=N2)C(=O)N(C)C1=O.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
methylergonovine maleate,methylergonovine maleate,methylergonovine maleate,less,methylergonovine maleate,OC(=O)\C=C/C(O)=O.[H][C@@]12CC3=CNC4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO
succinylcholine chloride,succinylcholine chloride,succinylcholine chloride,most,succinylcholine chloride,[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
tobramycin,tobramycin sulfate,tobramycin sulfate,no,tobramycin sulfate,OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O.[H][C@]1(O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O[C@H](CN)[C@@H](O)C[C@H]1N
aztreonam,aztreonam,aztreonam,less,aztreonam,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O
oxacillin,oxacillin,oxacillin sodium,less,oxacillin sodium,[Na+].CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)C(=NO1)C1=CC=CC=C1
hydralazine hydrochloride,hydralazine hydrochloride,hydralazine hydrochloride,most,hydralazine hydrochloride,Cl.NNC1=NN=CC2=CC=CC=C12
succinylcholine chloride,succinylcholine chloride,succinylcholine chloride dihydrate,most,succinylcholine chloride dihydrate,O.O.[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
fosphenytoin,fosphenytoin sodium,fosphenytoin sodium,most,fosphenytoin sodium,[Na+].[Na+].[O-]P([O-])(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
pyridoxine hci,pyridoxine hci,pyridoxine hydrochloride,no,pyridoxine hydrochloride,Cl.CC1=NC=C(CO)C(CO)=C1O
nafcillin,nafcillin,nafcillin sodium,ambiguous,nafcillin sodium,[Na+].CCOC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)C2=C(C=CC=C2)C=C1
cefotetan,cefotetan,cefotetan,no,cefotetan,CO[C@]1(NC(=O)C2SC(S2)=C(C(N)=O)C(O)=O)[C@H]2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O
bumetanide,bumetanide,bumetanide,less,bumetanide,CCCCNC1=CC(=CC(=C1OC1=CC=CC=C1)S(N)(=O)=O)C(O)=O
enlon,edrophonium chloride,edrophonium chloride,most,edrophonium chloride,[Cl-].CC[N+](C)(C)C1=CC(O)=CC=C1
pipracil,piperacillin sodium,piperacillin sodium,no,piperacillin sodium,[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C([O-])=O
cefizox,ceftizoxime sodium,ceftizoxime sodium,no,ceftizoxime sodium,[Na+].CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1
cortrosyn,cortrosyn,cosyntropin,less,cosyntropin,CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)C(N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(O)=O
brevital sodium,methohexital sodium,methohexital sodium,less,methohexital sodium,[Na+].CCC#CC(C)C1(CC=C)C(=O)N=C([O-])N(C)C1=O
lincomycin,lincomycin hydrochloride,lincomycin hydrochloride,ambiguous,lincomycin hydrochloride,Cl.CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O
demerol,meperidine hydrochloride,meperidine hydrochloride,less,meperidine hydrochloride,Cl.CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
glucagon,glucagon,glucagon,ambiguous,glucagon,[H]OC[C@H](N([H])C(=O)[C@H](CC1=CN=CN1[H])N([H])[H])C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])CC(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CCCCN([H])[H])C(=O)N([H])[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CCCN([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@H](CCCN([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@H](C)C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H](C(C)C)C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])[C@@H](CC1=CN([H])C2=C1C=CC=C2)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CCSC)C(=O)N([H])[C@@H](CC(=O)N([H])[H])C(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)O[H]
protopam chloride,pralidoxime chloride,pralidoxime chloride,less,pralidoxime chloride,[Cl-].C[N+]1=C(\C=N\O)C=CC=C1
nalbuphine hydrochloride,nalbuphine hydrochloride,nalbuphine hydrochloride,less,nalbuphine hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CCC3)[C@H](C4)[C@]1(O)CC[C@@H]2O
deferoxamine mesylate,deferoxamine mesylate,deferoxamine mesylate,less,deferoxamine mesylate,CS(O)(=O)=O.CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
hydromorphone hydrochloride,hydromorphone hydrochloride,hydromorphone hydrochloride,less,hydromorphone hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])CCC2=O
sterile water,sterile water for injection,water,no,water,O
revex,nalmefene hydrochloride,nalmefene hydrochloride,less,nalmefene hydrochloride,Cl.[H][C@@]12OC3=C4C(C[C@H]5N(CC6CC6)CC[C@@]14[C@@]5(O)CCC2=C)=CC=C3O
miacalcin,calcitonin salmon,calcitonin salmon,less,calcitonin salmon,[H][C@]1(NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N1CCC[C@H]1C(N)=O)[C@@H](C)O
makena,hydroxyprogesterone caproate,hydroxyprogesterone caproate,less,hydroxyprogesterone caproate,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
fluphenazine decanoate,fluphenazine decanoate,fluphenazine decanoate,most,fluphenazine decanoate,CCCCCCCCCC(=O)OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
lupron depot-ped,leuprolide acetate,leuprolide acetate,less,leuprolide acetate,CC(O)=O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1
miochol e,acetylcholine chloride,acetylcholine chloride,less,acetylcholine chloride,[Cl-].CC(=O)OCC[N+](C)(C)C
membraneblue,trypan blue,trypan blue,no,trypan blue,[Na+].[Na+].[Na+].[Na+].CC1=CC(=CC=C1N=NC1=C(C=C2C=C(C=C(N)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O)C1=CC(C)=C(C=C1)N=NC1=C(C=C2C=C(C=C(N)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O
novocaine,procaine hydrochloride,procaine hydrochloride,less,procaine hydrochloride,Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
indium dtpa in 111,indium in-111 pentetate disodium,indium in-111 pentetate disodium,no,indium in-111 pentetate disodium,[Na+].[Na+].[111In+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CCN(CC([O-])=O)CC([O-])=O
omnipaque,iohexol,iohexol,most,iohexol,CC(=O)N(CC(O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I
cytarabine,cytarabine,cytarabine,less,cytarabine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
paragard t 380a,copper,copper,no,copper,[Cu]
conray,iothalamate meglumine,iothalamate meglumine,most,iothalamate meglumine,CNC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO.CNC(=O)C1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
isovue 200; isovue 250; isovue 300; isovue 370,iopamidol,iopamidol,most,iopamidol,C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I
visipaque,iodixanol,iodixanol,most,iodixanol,CC(=O)N(CC(O)CN(C(C)=O)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I
prostin vr pediatric,alprostadil,alprostadil,less,alprostadil,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
nouress,cysteine hydrochloride,cysteine hydrochloride,no,cysteine hydrochloride,Cl.N[C@@H](CS)C(O)=O
amidate,etomidate,etomidate,less,etomidate,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
ga-68-dotatoc,edotreotide gallium ga-68,edotreotide gallium ga-68,no,edotreotide gallium ga-68,[H+].[68Ga+3].[H][C@@]1(CC2=CC=C(O)C=C2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=CC=CC=C23)NC1=O)[C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C([O-])=O)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1
kit for the preparation of technetium tc 99m medronate,technetium tc 99m medronate,technetium tc-99m medronate,no,technetium tc-99m medronate,O.O.[99Tc+4].[O-]P([O-])(=O)CP([O-])([O-])=O
acetylcysteine,acetylcysteine,acetylcysteine,ambiguous,acetylcysteine,CC(=O)N[C@@H](CS)C(O)=O
xerava,eravacycline,eravacycline dihydrochloride,less,eravacycline dihydrochloride,Cl.Cl.[H][C@@]12CC3=C(C(O)=C(NC(=O)CN4CCCC4)C=C3F)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2
aliqopa,copanlisib,copanlisib,less,copanlisib,COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21
ganite,gallium nitrate,gallium nitrate,less,gallium nitrate,[Ga+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O
kimyrsa,oritavancin diphosphate,oritavancin diphosphate,less,oritavancin diphosphate,OP(O)(O)=O.OP(O)(O)=O.[H][C@]12NC(=O)[C@]([H])(NC(=O)[C@]3([H])NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC)[C@H](O)C4=CC=C(OC5=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6C[C@](C)(NCC7=CC=C(C=C7)C7=CC=C(Cl)C=C7)[C@@H](O)[C@H](C)O6)C(OC6=C(Cl)C=C(C=C6)[C@H]1O[C@H]1C[C@](C)(N)[C@@H](O)[C@H](C)O1)=CC3=C5)C(Cl)=C4)C1=CC(=C(O)C=C1)C1=C(O)C=C(O)C=C1[C@H](NC2=O)C(O)=O
