INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
Glycopyrrolate,Expert Validated Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID6023109,Glycopyrrolate bromide,[Br-].C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1
VECURONIUM BROMIDE,Approved Name,DTXSID1023736,Vecuronium bromide,[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1
Propantheline Bromide,Approved Name,DTXSID2023519,Propantheline bromide,[Br-].CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C
Calcium Acetate,Approved Name,DTXSID0020234,Calcium acetate,[Ca++].CC([O-])=O.CC([O-])=O
Acamprosate Calcium,Expert Validated Synonym,DTXSID6047529,"1-Propanesulfonic acid, 3-(acetylamino)-, calcium salt (2:1)",[Ca++].CC(=O)NCCCS([O-])(=O)=O.CC(=O)NCCCS([O-])(=O)=O
Rosuvastatin Calcium,Approved Name,DTXSID9045928,Rosuvastatin calcium,[Ca++].CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)C(=NC(=N1)N(C)S(C)(=O)=O)C1=CC=C(F)C=C1.CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)C(=NC(=N1)N(C)S(C)(=O)=O)C1=CC=C(F)C=C1
ATORVASTATIN CALCIUM,Approved Name,DTXSID6044303,Atorvastatin calcium,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
Atorvastatin calcium,Approved Name,DTXSID6044303,Atorvastatin calcium,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
Atorvastatin calcium,Approved Name,DTXSID6044303,Atorvastatin calcium,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
Fosamprenavir Calcium,Approved Name,DTXSID0046777,Fosamprenavir calcium,[Ca++].CC(C)CN(C[C@@H](OP([O-])([O-])=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
Leucovorin Calcium,Expert Validated Synonym,DTXSID20872448,Folinic acid calcium salt,[Ca++].NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
Calcium Gluconate,Synonym from Valid Source,DTXSID2029618,Calcium D-gluconate,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
Thallous Chloride Tl 201,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID301027509,Thallium-201 monochloride,[Cl-].[201Tl+]
Xofigo,Expert Validated Synonym,DTXSID80893194,Radium Ra-223 Dichloride,[Cl-].[Cl-].[223Ra++]
Calcium Chloride,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID5020235,Calcium chloride,[Cl-].[Cl-].[Ca++]
Zinc Chloride,Approved Name,DTXSID2035013,Zinc chloride,[Cl-].[Cl-].[Zn++]
SUCCINYLCHOLINE CHLORIDE,Approved Name,DTXSID1023603,Succinylcholine chloride,[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
Succinylcholine Chloride,Approved Name,DTXSID1023603,Succinylcholine chloride,[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
TROSPIUM CHLORIDE,Approved Name,DTXSID7023724,Trospium chloride,[Cl-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
Potassium Chloride,Approved Name,DTXSID5021178,Potassium chloride,[Cl-].[K+]
Thallous Chloride Tl 201,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID6024333,Thallium chloride,[Cl-].[Tl+]
Protopam Chloride,Synonym,DTXSID1023495,Pralidoxime chloride,[Cl-].C[N+]1=C(\C=N\O)C=CC=C1
Miochol E,Synonym,DTXSID5048978,Acetylcholine chloride,[Cl-].CC(=O)OCC[N+](C)(C)C
Bethanechol Chloride,Approved Name,DTXSID2022676,Bethanechol chloride,[Cl-].CC(C[N+](C)(C)C)OC(N)=O
Cyanocobalamin,Expert Validated Synonym,DTXSID7044346,Vitamin B12,[Co+3].[C-]#N.[H]C1(O)[C@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)[C@@]3([H])[N-]\C2=C(C)/C2=N/C(=C\C4=N\C(=C(C)/C5=N[C@]3(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)\[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]2CCC(N)=O)[C@@H](CO)O[C@@H]1N1C=NC2=C1C=C(C)C(C)=C2
Chromium,Approved Name,DTXSID3031022,Chromium,[Cr]
ParaGard T 380A,Synonym,DTXSID2023985,Copper,[Cu]
COPPER,Approved Name,DTXSID2023985,Copper,[Cu]
INFED,Synonym,DTXSID4042672,Fe +2 ion,[Fe++]
Metopirone,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID4042672,Fe +2 ion,[Fe++]
ACCRUFER,Synonym,DTXSID10955335,Ferric maltol,[Fe+3].[O-]C1=COC=CC1=O.CC1=C([O-])C(=O)C=CO1.CC1=C([O-])C(=O)C=CO1
Gallium,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID401029758,Gallium,[Ga]
Gallium,Systematic Name - WARNING: Synonym mapped to two or more chemicals,DTXSID90177058,Gallium cation,[Ga+3]
ProHance,Synonym,DTXSID2048662,Gadoteridol,[Gd+3].CC(O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1
Magnevist,Synonym,DTXSID70235367,Gadopentetate dimeglumine [USAN:USP],[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O
EOVIST,Synonym,DTXSID001027879,Gadoxetate disodium,[Gd+3]1234567[O-]C(C[N]1(CC([N]2(CC([O-]3)=O)CC([O-]4)=O)CC1=CC=C(OCC)C=C1)CC[N]5(CC([O-]6)=O)CC([O-]7)=O)=O.[Na+].[Na+]
Erythromycin Lactobionate,Approved Name,DTXSID801009322,Erythromycin lactobionate,[H][C@@](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([C@H](O)CO)[C@H](O)[C@@H](O)C(O)=O.[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C
VIBATIV,Expert Validated Synonym,DTXSID10873383,Telavancin,[H][C@@]1(C[C@](C)(NCCNCCCCCCCCCC)[C@H](O)[C@H](C)O1)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1OC1=C2OC3=CC=C(C=C3Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@]3([H])C(C=C1OC1=CC=C(C=C1Cl)[C@@H](O)[C@]1([H])NC(=O)[C@]([H])(NC3=O)C3=CC=C(O)C(=C3)C3=C(O)C(CNCP(O)(O)=O)=C(O)C=C3[C@]([H])(NC1=O)C(O)=O)=C2
Valstar,Synonym,DTXSID9046497,Valrubicin,[H][C@@]1(C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=C(C=CC=C3OC)C(=O)C1=C2O)C(=O)COC(=O)CCCC
Ocaliva,Expert Validated Synonym,DTXSID20196671,Obeticholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
Doxercalciferol,Expert Validated Synonym,DTXSID1034214,1-Hydroxyvitamin D2,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@H](C)C(C)C
Calcitriol,Approved Name,DTXSID5022722,Calcitriol,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O
Rinvoq,Synonym,DTXSID901027919,Upadacitinib,[H][C@@]1(CN(C[C@H]1CC)C(=O)NCC(F)(F)F)C1=CN=C2C=NC3=C(C=CN3)N12
Streptomycin,Expert Validated Synonym,DTXSID4023597,Streptomycin A,[H][C@@]1(O[C@H]2[C@H](O[C@@]3([H])[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]3NC(N)=N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1NC
doxycycline,Approved Name,DTXSID0037653,Doxycycline,[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
TPOXX,Expert Validated Synonym,DTXSID101026474,Tecovirimat,[H][C@@]12[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@]1([H])C(=O)N(NC(=O)C1=CC=C(C=C1)C(F)(F)F)C2=O
Eplerenone,Approved Name,DTXSID2046094,Eplerenone,[H][C@@]12C[C@@]3(C)[C@@]([H])(CC[C@@]33CCC(=O)O3)[C@]3([H])[C@@H](CC4=CC(=O)CC[C@]4(C)[C@@]13O2)C(=O)OC
CERIANNA,Synonym,DTXSID101027872,16alpha-[18F]Fluoroestradiol,[H][C@@]12C[C@@H]([18F])[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
Dexamethasone,Approved Name,DTXSID3020384,Dexamethasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
ERAXIS,Expert Validated Synonym,DTXSID50873201,Anidulafungin,[H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)C(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O
Micafungin,Approved Name,DTXSID90873341,Micafungin,[H][C@@]12C[C@@H](O)CN1C(=O)C(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)C(NC2=O)[C@H](O)[C@@H](O)C1=CC(OS(O)(=O)=O)=C(O)C=C1)[C@H](O)CC(N)=O)NC(=O)C1=CC=C(C=C1)C1=NOC(=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O
Micafungin,Approved Name,DTXSID90873341,Micafungin,[H][C@@]12C[C@@H](O)CN1C(=O)C(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)C(NC2=O)[C@H](O)[C@@H](O)C1=CC(OS(O)(=O)=O)=C(O)C=C1)[C@H](O)CC(N)=O)NC(=O)C1=CC=C(C=C1)C1=NOC(=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O
ZONTIVITY,Synonym,DTXSID201009336,Vorapaxar,[H][C@@]12C[C@]3([H])C[C@@H](CC[C@@]3([H])[C@H](\C=C\C3=CC=C(C=N3)C3=CC(F)=CC=C3)[C@]1([H])[C@@H](C)OC2=O)NC(=O)OCC
Trandolapril,Approved Name,DTXSID2023692,Trandolapril,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
DOCETAXEL,Approved Name,DTXSID0040464,Docetaxel,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
Paclitaxel,Approved Name,DTXSID9023413,Paclitaxel,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1
Dronabinol,Synonym from Valid Source,DTXSID6021327,Tetrahydrocannabinol,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=CC(CCCCC)=CC(O)=C21
Tetrabenazine,Approved Name,DTXSID0042614,Tetrabenazine,[H][C@@]12CC(=O)[C@@H](CC(C)C)CN1CCC1=C2C=C(OC)C(OC)=C1
Lubiprostone,Expert Validated Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID80861338,Amitiza,[H][C@@]12CC(=O)[C@H](CCCCCCC(O)=O)[C@@]1([H])CC[C@@](O)(O2)C(F)(F)CCCC
Cesamet,Synonym from Valid Source,DTXSID8023341,Nabilone,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC
Levonorgestrel,Approved Name,DTXSID3036496,Levonorgestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
Mifepristone,Approved Name,DTXSID5023322,Mifepristone,[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@]([H])(C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H]
Norethindrone Acetate,Approved Name,DTXSID4023381,Norethindrone acetate,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
spironolactone,Approved Name,DTXSID6034186,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)SC(C)=O
Sirolimus,Approved Name,DTXSID5023582,Sirolimus,[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@]([H])(CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C2)OC)[C@H](C)C[C@@H]1CC[C@@H](O)[C@@H](C1)OC
METHYLPREDNISOLONE,Approved Name,DTXSID7023300,Methylprednisolone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
Solu-Cortef,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID5022857,Cortisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
FLUDROCORTISONE ACETATE,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID5022857,Cortisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Cortisone Acetate,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID5022857,Cortisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
FLUDROCORTISONE ACETATE,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID2023062,Fludrocortisone acetate,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Cortisone Acetate,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID0022858,Cortisone acetate,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Medroxyprogesterone Acetate,Approved Name,DTXSID0025527,Medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
Megestrol Acetate,Approved Name,DTXSID9040683,Megestrol acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C
Ursodiol,Expert Validated Synonym,DTXSID6023731,Ursodeoxycholic acid,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C
Ursodiol,Expert Validated Synonym,DTXSID6023731,Ursodeoxycholic acid,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C
Dutasteride,Approved Name,DTXSID8046452,Dutasteride,[H][C@@]12CC[C@H](C(=O)NC3=CC(=CC=C3C(F)(F)F)C(F)(F)F)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C
Progesterone,Approved Name,DTXSID3022370,Progesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Fulvestrant,Approved Name,DTXSID4022369,Fulvestrant,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3
ESTRADIOL,Expert Validated Synonym,DTXSID0020573,17beta-Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
Testosterone Cypionate,Approved Name,DTXSID901015617,Testosterone cypionate,[H][C@@]12CC[C@H](OC(=O)CCC3CCCC3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Estradiol Valerate,Approved Name,DTXSID8023004,Estradiol valerate,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
Premarin,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID50891501,Estrone sulfate,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OS(O)(=O)=O)C=C3
Eptifibatide,Approved Name,DTXSID7046673,Eptifibatide,[H][C@@]12CCCN1C(=O)[C@H](CC1=CNC3=CC=CC=C13)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CCCCNC(N)=N)NC(=O)CCSSC[C@H](NC2=O)C(N)=O
dactinomycin,Expert Validated Synonym,DTXSID9020031,Actinomycin D,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C
Xofluza,Synonym,DTXSID601027758,Baloxavir marboxil,[H][C@@]12COCCN1C(=O)C1=C(OCOC(=O)OC)C(=O)C=CN1N2[C@H]1C2=CC=C(F)C(F)=C2CSC2=CC=CC=C12
Nulibry,Synonym,DTXSID90934067,Fosdenopterin,[H][C@@]12COP(O)(=O)O[C@]1([H])C(O)(O)[C@]1([H])NC3=C(NC(=N)N=C3O)N[C@]1([H])O2
BRIDION,Synonym,DTXSID90895043,Sugammadex,[H][C@@]12O[C@H](CSCCC(O)=O)[C@@H](O[C@@]3([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]4([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]5([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]6([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]7([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]8([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]9([H])O[C@H](CSCCC(O)=O)[C@@H](O1)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O
VIVITROL,Synonym,DTXSID4046313,Naltrexone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
Buprenorphine,Approved Name,DTXSID2022705,Buprenorphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@H](C4)[C@]11CC[C@@]2(OC)[C@]([H])(C1)[C@](C)(O)C(C)(C)C
XTAMPZA ER,Synonym,DTXSID5023407,Oxycodone,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O
APREPITANT,Approved Name,DTXSID3049047,Aprepitant,[H][C@](C)(O[C@@]1([H])OCCN(CC2=NC(=O)NN2)[C@@]1([H])C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
Tolterodine Tartrate,Expert Validated Synonym,DTXSID80924972,(R)-Tolterodine L-tartrate,[H][C@](O)(C(O)=O)[C@@]([H])(O)C(O)=O.CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C
ZOLPIDEM TARTRATE,Synonym,DTXSID00912795,"2,3-Dihydroxybutanedioic acid--N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo[1,2-a]pyridin-3-yl]acetamide (1/1)",[H][C@](O)(C(O)=O)[C@@]([H])(O)C(O)=O.CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
