INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
naltrexone,Approved Name,DTXSID4046313,Naltrexone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
CABOTEGRAVIR SODIUM,Searched by Synonym: Found 0 results,N/A,N/A,N/A
Fulvestrant,Approved Name,DTXSID4022369,Fulvestrant,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3
VITAMIN A PALMITATE,Expert Validated Synonym,DTXSID1021241,Retinol palmitate,CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
Dimercaprol,Approved Name,DTXSID5040461,Dimercaprol,OCC(S)CS
TRIPTORELIN PAMOATE,Approved Name,DTXSID4046494,Triptorelin pamoate,OC(=O)C1=CC2=C(C=CC=C2)C(CC2=C(O)C(=CC3=C2C=CC=C3)C(O)=O)=C1O.CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@@H]1C(=O)NCC(N)=O
CARBOPROST TROMETHAMINE,Approved Name,DTXSID601015618,Carboprost tromethamine,NC(CO)(CO)CO.CCCCC[C@](C)(O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
HYDROXOCOBALAMIN ACETATE,Approved Name,DTXSID8046901,Hydroxocobalamin acetate,CC(CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co]OC(C)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP(O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2
Cyanocobalamin,Expert Validated Synonym,DTXSID7044346,Vitamin B12,[Co+3].[C-]#N.[H]C1(O)[C@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)[C@@]3([H])[N-]\C2=C(C)/C2=N/C(=C\C4=N\C(=C(C)/C5=N[C@]3(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)\[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]2CCC(N)=O)[C@@H](CO)O[C@@H]1N1C=NC2=C1C=C(C)C(C)=C2
ESTRADIOL VALERATE,Approved Name,DTXSID8023004,Estradiol valerate,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
TESTOSTERONE CYPIONATE,Approved Name,DTXSID901015617,Testosterone cypionate,[H][C@@]12CC[C@H](OC(=O)CCC3CCCC3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
STREPTOMYCIN SULFATE,Expert Validated Synonym,DTXSID9026053,Streptomycin sulfate (2:3),OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O
MEDROXYPROGESTERONE ACETATE,Approved Name,DTXSID0025527,Medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
HALOPERIDOL DECANOATE,Approved Name,DTXSID50224951,Haloperidol decanoate,CCCCCCCCCC(=O)OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
ESTRADIOL CYPIONATE,Approved Name,DTXSID4022999,Estradiol cypionate,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
Haloperidol Lactate,Approved Name,DTXSID801026594,Haloperidol lactate,CC(O)C(O)=O.OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
ZIPRASIDONE MESYLATE,Approved Name,DTXSID80939920,Ziprasidone mesylate,CS(O)(=O)=O.ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
PENICILLIN G PROCAINE,Expert Validated Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID30883227,Benzylpenicillin procaine,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O
PENICILLIN G PROCAINE,Integrated Source Name - WARNING: Synonym mapped to two or more chemicals,DTXSID40210207,Penicillin G procaine [USP],O.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1.CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O
Nandrolone Decanoate,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID7023352,Nandrolone decanoate,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C
Nandrolone Decanoate,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID7023350,Nandrolone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O
BLEOMYCIN SULFATE,Approved Name,DTXSID2047800,Bleomycin sulfate,N/A
POLYMYXIN B SULFATE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
MAGNESIUM SULFATE HEPTAHYDRATE,Synonym from Valid Source,DTXSID5040544,Magnesium sufate heptahydrate,O.O.O.O.O.O.O.[Mg++].[O-]S([O-])(=O)=O
"ESTROGENS, CONJUGATED",Approved Name,DTXSID9021186,"Estrogens, conjugated",N/A
capreomycin sulfate,Searched by Synonym: Found 0 results,N/A,N/A,N/A
IRON DEXTRAN,Approved Name,DTXSID1031464,Iron dextran,N/A
HYDROCORTISONE SODIUM SUCCINATE,Synonym,DTXSID2049006,Hydrocortisone 21-hemisuccinate sodium salt,[Na+].[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
EDETATE CALCIUM DISODIUM,Synonym,DTXSID20217976,Calcium disodium (ethylenedinitrilo)tetraacetate dihydrate,O.O.[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
OXYTOCIN,Approved Name,DTXSID8048361,Oxytocin,[H][C@]1(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)[C@@H](C)CC
PENICILLIN G SODIUM,Approved Name,DTXSID6040581,Penicillin G sodium,[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O
Phentolamine Mesylate,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID4023462,Phentolamine,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1
Phentolamine Mesylate,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID60215315,Phentolamine mesylate,CS(O)(=O)=O.CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1
Colistimethate Sodium,Approved Name,DTXSID6045822,Colistimethate sodium,N/A
Orphenadrine Citrate,Synonym,DTXSID8044678,Orphenadrine dihydrogen citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1
Midazolam Hydrochloride,Approved Name,DTXSID8047846,Midazolam hydrochloride,Cl.CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=CC(Cl)=CC=C3N12
METOCLOPRAMIDE HYDROCHLORIDE,Expert Validated Synonym,DTXSID10964306,Metoclopramide monohydrochloride,Cl.CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1
PENICILLIN G POTASSIUM,Approved Name,DTXSID7045106,Penicillin G potassium,[K+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C([O-])=O
PENTAMIDINE ISETHIONATE,Approved Name,DTXSID5023796,Pentamidine isethionate,OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
DIPHENHYDRAMINE HYDROCHLORIDE,Approved Name,DTXSID4020537,Diphenhydramine hydrochloride,Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
PROCAINAMIDE HYDROCHLORIDE,Approved Name,DTXSID2049422,Procainamide hydrochloride,Cl.CCN(CC)CCNC(=O)C1=CC=C(N)C=C1
LEUCOVORIN CALCIUM,Expert Validated Synonym,DTXSID20872448,Folinic acid calcium salt,[Ca++].NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
cefuroxime sodium,Approved Name,DTXSID201015616,Cefuroxime sodium,[Na+].[H][C@@]1(NC(=O)C(=N/OC)\C2=CC=CO2)C(=O)N2C(C([O-])=O)=C(COC(N)=O)CS[C@]12[H]
PROCHLORPERAZINE EDISYLATE,Approved Name,DTXSID4074483,Prochlorperazine edisylate,OS(=O)(=O)CCS(O)(=O)=O.CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
CEFAZOLIN SODIUM,Approved Name,DTXSID901015786,Cefazolin sodium,[Na+].[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C([O-])=O
DROPERIDOL,Approved Name,DTXSID6022973,Droperidol,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
KETAMINE HYDROCHLORIDE,Approved Name,DTXSID4040137,Ketamine hydrochloride,Cl.CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1
ONDANSETRON HYDROCHLORIDE,Approved Name,DTXSID701027913,Ondansetron hydrochloride,Cl.CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
Pentobarbital Sodium,Approved Name,DTXSID9021712,Pentobarbital sodium,[Na+].CCCC(C)C1(CC)C(=O)NC([O-])=NC1=O
AMIKACIN SULFATE,Approved Name,DTXSID601045247,Amikacin sulfate,OS(O)(=O)=O.OS(O)(=O)=O.NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
THIAMINE HYDROCHLORIDE,Approved Name,DTXSID0040622,Thiamine hydrochloride,Cl.[Cl-].CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
METHYLPREDNISOLONE SODIUM SUCCINATE,Approved Name,DTXSID2023303,Methylprednisolone sodium succinate,[Na+].[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
DIMENHYDRINATE,Approved Name,DTXSID9025087,Dimenhydrinate,CN1C2=C(NC(Cl)=N2)C(=O)N(C)C1=O.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
Methylergonovine Maleate,Expert Validated Synonym,DTXSID1023283,Methergine,OC(=O)\C=C/C(O)=O.[H][C@@]12CC3=CNC4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO
SUCCINYLCHOLINE CHLORIDE,Approved Name,DTXSID1023603,Succinylcholine chloride,[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
Tobramycin Sulfate,Approved Name,DTXSID50964441,Tobramycin sulfate,OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O.[H][C@]1(O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O[C@H](CN)[C@@H](O)C[C@H]1N
AZTREONAM,Approved Name,DTXSID0022640,Aztreonam,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O
OXACILLIN SODIUM,Synonym,DTXSID9048980,Oxacillin sodium salt,[Na+].CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)C(=NO1)C1=CC=CC=C1
Hydralazine Hydrochloride,Approved Name,DTXSID1044645,Hydralazine hydrochloride,Cl.NNC1=NN=CC2=CC=CC=C12
colistimethate,Searched by Inchi Key: Found 0 results ,N/A,N/A,N/A
SUCCINYLCHOLINE CHLORIDE DIHYDRATE,Approved Name,DTXSID50976488,Succinylcholine chloride dihydrate,O.O.[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
FOSPHENYTOIN SODIUM,Approved Name,DTXSID1044271,Fosphenytoin sodium,[Na+].[Na+].[O-]P([O-])(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
PYRIDOXINE HYDROCHLORIDE,Approved Name,DTXSID1040792,Pyridoxine hydrochloride,Cl.CC1=NC=C(CO)C(CO)=C1O
NAFCILLIN SODIUM,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID00904716,Nafcillin sodium,[Na+].CCOC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)C2=C(C=CC=C2)C=C1
NAFCILLIN SODIUM,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID7045570,Nafcillin sodium monohydrate,O.[Na+].CCOC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)C2=C(C=CC=C2)C=C1
CEFOTETAN,Approved Name,DTXSID1022762,Cefotetan,CO[C@]1(NC(=O)C2SC(S2)=C(C(N)=O)C(O)=O)[C@H]2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O
ERTAPENEM SODIUM,Searched by Synonym: Found 0 results,N/A,N/A,N/A
bumetanide,Approved Name,DTXSID5022699,Bumetanide,CCCCNC1=CC(=CC(=C1OC1=CC=CC=C1)S(N)(=O)=O)C(O)=O
CEFOTETAN DISODIUM,Searched by Synonym: Found 0 results,N/A,N/A,N/A
edrophonium chloride,Approved Name,DTXSID1022978,Edrophonium chloride,[Cl-].CC[N+](C)(C)C1=CC(O)=CC=C1
Piperacillin Sodium,Approved Name,DTXSID6048965,Piperacillin sodium,[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C([O-])=O
ceftizoxime sodium,Approved Name,DTXSID5046643,Ceftizoxime sodium,[Na+].CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1
Cosyntropin,Approved Name,DTXSID201014470,Cosyntropin,CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)C(N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(O)=O
METHOHEXITAL SODIUM,Expert Validated Synonym,DTXSID6026036,Sodium methohexital,[Na+].CCC#CC(C)C1(CC=C)C(=O)N=C([O-])N(C)C1=O
LINCOMYCIN HYDROCHLORIDE,Approved Name,DTXSID7047803,Lincomycin hydrochloride,Cl.CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O
MEPERIDINE HYDROCHLORIDE,Approved Name,DTXSID30950620,Meperidine hydrochloride,Cl.CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
glucagon,Approved Name,DTXSID101016809,Glucagon,[H]OC[C@H](N([H])C(=O)[C@H](CC1=CN=CN1[H])N([H])[H])C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])CC(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CCCCN([H])[H])C(=O)N([H])[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CO[H])C(=O)N([H])[C@@H](CCCN([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@H](CCCN([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@H](C)C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])[C@@H](CC(=O)O[H])C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H](C(C)C)C(=O)N([H])[C@@H](CCC(=O)N([H])[H])C(=O)N([H])[C@@H](CC1=CN([H])C2=C1C=CC=C2)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CCSC)C(=O)N([H])[C@@H](CC(=O)N([H])[H])C(=O)N([H])[C@@H]([C@@H](C)O[H])C(=O)O[H]
PRALIDOXIME CHLORIDE,Approved Name,DTXSID1023495,Pralidoxime chloride,[Cl-].C[N+]1=C(\C=N\O)C=CC=C1
GLUCAGON HYDROCHLORIDE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
Nalbuphine Hydrochloride,Approved Name,DTXSID20177844,Nalbuphine hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CCC3)[C@H](C4)[C@]1(O)CC[C@@H]2O
DEFEROXAMINE MESYLATE,Approved Name,DTXSID6037649,Deferoxamine mesylate,CS(O)(=O)=O.CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
Hydromorphone Hydrochloride,Approved Name,DTXSID90991291,Hydromorphone hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])CCC2=O
WATER,Approved Name,DTXSID6026296,Water,O
nalmefene hydrochloride,Approved Name,DTXSID70891705,Nalmefene hydrochloride,Cl.[H][C@@]12OC3=C4C(C[C@H]5N(CC6CC6)CC[C@@]14[C@@]5(O)CCC2=C)=CC=C3O
CORTICOTROPIN,Synonym from Valid Source,DTXSID8040808,Adrenocorticotropic hormone,N/A
CALCITONIN SALMON,Synonym,DTXSID601026667,Salmon calcitonin,[H][C@]1(NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N1CCC[C@H]1C(N)=O)[C@@H](C)O
HYDROXYPROGESTERONE CAPROATE,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID6043915,"17-((1-Oxohexyl)oxy)pregn-4-ene-3,20-dione",CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
HYDROXYPROGESTERONE CAPROATE,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID3022370,Progesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
FLUPHENAZINE DECANOATE,Approved Name,DTXSID7023069,Fluphenazine decanoate,CCCCCCCCCC(=O)OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
LEUPROLIDE ACETATE,Approved Name,DTXSID7049009,Leuprolide acetate,CC(O)=O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1
ACETYLCHOLINE CHLORIDE,Approved Name,DTXSID5048978,Acetylcholine chloride,[Cl-].CC(=O)OCC[N+](C)(C)C
BRILLIANT BLUE G,Searched by Synonym: Found 0 results,N/A,N/A,N/A
TRYPAN BLUE,Expert Validated Synonym,DTXSID4026268,C.I. Direct Blue 14,[Na+].[Na+].[Na+].[Na+].CC1=CC(=CC=C1N=NC1=C(C=C2C=C(C=C(N)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O)C1=CC(C)=C(C=C1)N=NC1=C(C=C2C=C(C=C(N)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O
TALC,Approved Name,DTXSID5032109,Talc,N/A
Procaine Hydrochloride,Approved Name,DTXSID1044435,Procaine hydrochloride,Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
ziconotide acetate,Approved Name,DTXSID501027600,Ziconotide acetate,N/A
Indium In-111 Pentetate Disodium,Approved Name,DTXSID101027591,Indium In-111 pentetate disodium,[Na+].[Na+].[111In+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CCN(CC([O-])=O)CC([O-])=O
Nusinersen,Synonym,DTXSID301027785,Nusinersen sodium,N/A
Iohexol,Approved Name,DTXSID6023157,Iohexol,CC(=O)N(CC(O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I
